Cell_Number,R_Area,B_Area,BR_Ratio,Prop_Infected,Cell_Source,Unique_id,Status,F1,Manual_Match
14,469059,1166732,2.487388580114655,0.7132524876344227,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_14,late_infected,FP,NA
15,254338,701708,2.758958551219244,0.7339688676067888,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_15,late_infected,FP,NA
16,330832,700943,2.118727934419887,0.6793564488381673,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_16,late_infected,FP,NA
17,537429,1077684,2.005258369012465,0.6672499075916051,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_17,late_infected,FP,NA
18,417908,1106412,2.647501364,0.7258397186942375,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_18,late_infected,FP,NA
19,448870,886682,1.975364804954664,0.6639067591527698,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_19,late_infected,FP,NA
20,491986,1044831,2.1237006744094344,0.6798668937160378,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_20,late_infected,FP,NA
21,188199,540068,2.869664557197434,0.741579668,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_21,late_infected,FP,NA
22,419471,1101751,2.6265248372354706,0.7242539221757245,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_22,late_infected,FP,NA
23,197369,528596,2.678211877,0.7281287665383317,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_23,late_infected,FP,NA
24,70317,354200,5.037188731032325,0.8343599902948527,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_24,dead,FP,NA
25,335585,750652,2.2368461045636723,0.6910572922852011,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_25,late_infected,FP,NA
26,62059,185915,2.995778211,0.749735859,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_26,late_infected,FP,NA
27,208088,368318,1.770010764676483,0.6389905726172177,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_27,late_infected,FP,NA
28,276134,558032,2.0208739235298805,0.6689699652107614,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_28,late_infected,FP,NA
29,99557,237938,2.389967556274295,0.7050119261026089,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_29,late_infected,FP,NA
30,183832,431869,2.349259106140389,0.7014265040985803,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_30,late_infected,FP,NA
31,293779,650014,2.2125951820926617,0.6887251759654924,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_31,late_infected,TP,AS_C_U_15_3-20240717_16
32,168994,370381,2.1916813614684547,0.6866855156431054,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_32,late_infected,FP,NA
33,247970,678160,2.734846957293221,0.7322514117888418,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_33,late_infected,FP,NA
34,177759,441185,2.4819277786216167,0.7128027737565918,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_34,late_infected,FP,NA
35,280549,556215,1.982594840829944,0.664721475,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_35,late_infected,FP,NA
36,86020,226835,2.637003022552894,0.7250483450799892,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_36,late_infected,FP,NA
37,279382,730798,2.615766226886485,0.7234334475044052,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_37,late_infected,FP,NA
38,273711,757831,2.768726868850722,0.7346584046020423,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_38,late_infected,FP,NA
39,115637,347565,3.0056556292536127,0.7503529777505279,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_39,late_infected,FP,NA
40,77176,291654,3.7790763968072976,0.7907545481658217,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_40,late_infected,FP,NA
41,305673,686416,2.2455892407899944,0.6918895381361955,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_41,late_infected,FP,NA
42,44564,196445,4.408154564222242,0.8150940421312067,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_42,dead,FP,NA
43,188885,547613,2.899187336209863,0.7435363028820173,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_43,late_infected,FP,NA
44,302404,599643,1.982920199468261,0.664758045,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_44,late_infected,FP,NA
45,236791,609540,2.574168781752685,0.720214668,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_45,late_infected,FP,NA
46,62063,158586,2.5552422538388413,0.7187252151607304,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_46,late_infected,FP,NA
47,102451,311879,3.044177216425413,0.7527309149711583,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_47,late_infected,FP,NA
48,132413,224846,1.6980658998738791,0.6293641307846688,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_48,late_infected,FP,NA
1,237523,279074,1.174934638,0.5402160678439867,AS_STARTER_2-20240716,AS_STARTER_2-20240716_1,late_infected,TP,AS_STARTER_2-20240716_6
