Cell_Number,R_Area,B_Area,BR_Ratio,Prop_Infected,Cell_Source,Unique_id,Status,F1,Og_Manual_Match,Manual_Match
136,29118,286554,9.841129198433958,0.907758686,AS_Starter_1-20240711,AS_Starter_1-20240711_136,dead,FP,NA,NA
137,112298,1028667,9.160154232488557,0.9015762972571464,AS_Starter_1-20240711,AS_Starter_1-20240711_137,dead,FP,NA,NA
138,55903,437273,7.821995241758045,0.8866469576783947,AS_Starter_1-20240711,AS_Starter_1-20240711_138,dead,FP,NA,NA
139,187636,402841,2.1469280948218894,0.6822297904914163,AS_Starter_1-20240711,AS_Starter_1-20240711_139,late_infected,FP,NA,NA
140,73525,364461,4.956967018021081,0.8321293374674076,AS_Starter_1-20240711,AS_Starter_1-20240711_140,dead,FP,NA,NA
141,56718,404459,7.131051870658345,0.8770146819984518,AS_Starter_1-20240711,AS_Starter_1-20240711_141,dead,FP,NA,NA
142,64651,742713,11.488035761241123,0.9199233555125074,AS_Starter_1-20240711,AS_Starter_1-20240711_142,dead,FP,NA,NA
143,57609,258173,4.481469909215574,0.8175671824233174,AS_Starter_1-20240711,AS_Starter_1-20240711_143,dead,FP,NA,NA
144,60111,126782,2.1091314401690204,0.678366766,AS_Starter_1-20240711,AS_Starter_1-20240711_144,late_infected,FP,NA,NA
145,31817,322650,10.14080522990854,0.9102398812865512,AS_Starter_1-20240711,AS_Starter_1-20240711_145,dead,FP,NA,NA
146,51003,352623,6.913769778248338,0.8736379717857621,AS_Starter_1-20240711,AS_Starter_1-20240711_146,dead,FP,NA,NA
147,110283,471093,4.271673785,0.810306927,AS_Starter_1-20240711,AS_Starter_1-20240711_147,dead,FP,NA,NA
148,35172,257587,7.323638121232799,0.8798602263295066,AS_Starter_1-20240711,AS_Starter_1-20240711_148,dead,FP,NA,NA
149,119183,770724,6.466727637330828,0.8660725221849025,AS_Starter_1-20240711,AS_Starter_1-20240711_149,dead,FP,NA,NA
150,22664,147627,6.513722202612072,0.8669101714124645,AS_Starter_1-20240711,AS_Starter_1-20240711_150,dead,FP,NA,NA
151,45970,117942,2.565629758538177,0.719544634,AS_Starter_1-20240711,AS_Starter_1-20240711_151,late_infected,FP,NA,NA
152,35653,377784,10.596134967604408,0.9137643703877496,AS_Starter_1-20240711,AS_Starter_1-20240711_152,dead,FP,NA,NA
153,129973,441064,3.393504804844083,0.7723912811253911,AS_Starter_1-20240711,AS_Starter_1-20240711_153,late_infected,FP,NA,NA
154,41023,455853,11.112132218511569,0.9174381535835904,AS_Starter_1-20240711,AS_Starter_1-20240711_154,dead,FP,NA,NA
155,55706,603044,10.82547661,0.9154368121442126,AS_Starter_1-20240711,AS_Starter_1-20240711_155,dead,FP,NA,NA
156,144839,751399,5.187822340667914,0.8383922574137673,AS_Starter_1-20240711,AS_Starter_1-20240711_156,dead,FP,NA,NA
157,81103,336563,4.149821831498218,0.8058185248499997,AS_Starter_1-20240711,AS_Starter_1-20240711_157,dead,FP,NA,NA
158,53401,472316,8.844703282710062,0.8984225353184317,AS_Starter_1-20240711,AS_Starter_1-20240711_158,dead,FP,NA,NA
159,51921,363104,6.993393809826467,0.874896693,AS_Starter_1-20240711,AS_Starter_1-20240711_159,dead,FP,NA,NA
160,31574,190884,6.045607145119402,0.8580675902867058,AS_Starter_1-20240711,AS_Starter_1-20240711_160,dead,FP,NA,NA
161,98583,936847,9.503129342787297,0.90479028,AS_Starter_1-20240711,AS_Starter_1-20240711_161,dead,FP,NA,NA
162,68968,1450516,21.031724857905115,0.9546109073869814,AS_Starter_1-20240711,AS_Starter_1-20240711_162,dead,FP,NA,NA
163,68994,492137,7.133040554251094,0.8770447542552452,AS_Starter_1-20240711,AS_Starter_1-20240711_163,dead,FP,NA,NA
164,90421,528080,5.840236228309795,0.8538062185833167,AS_Starter_1-20240711,AS_Starter_1-20240711_164,dead,FP,NA,NA
165,47878,786388,16.424829775679854,0.9426106301826996,AS_Starter_1-20240711,AS_Starter_1-20240711_165,dead,FP,NA,NA
166,61684,387039,6.274544452370145,0.8625343474704885,AS_Starter_1-20240711,AS_Starter_1-20240711_166,dead,FP,NA,NA
167,98234,708405,7.211403383757151,0.8782181372336324,AS_Starter_1-20240711,AS_Starter_1-20240711_167,dead,FP,NA,NA
1,163610,834222,5.098844813886681,0.8360345228455291,AS_Starter_3-20240711,AS_Starter_3-20240711_1,dead,FP,NA,NA
2,134808,914952,6.787074951041482,0.8715820759030636,AS_Starter_3-20240711,AS_Starter_3-20240711_2,dead,FP,NA,NA
3,159649,778074,4.873654078635005,0.8297482305542255,AS_Starter_3-20240711,AS_Starter_3-20240711_3,dead,FP,NA,NA
4,165612,908814,5.487609593507717,0.8458600220024459,AS_Starter_3-20240711,AS_Starter_3-20240711_4,dead,FP,NA,NA
5,136714,774093,5.662134090144389,0.849897948,AS_Starter_3-20240711,AS_Starter_3-20240711_5,dead,FP,NA,NA
6,143959,720283,5.003389854055668,0.8334274427764445,AS_Starter_3-20240711,AS_Starter_3-20240711_6,dead,FP,NA,NA
7,83453,630860,7.559464608821732,0.8831702628959573,AS_Starter_3-20240711,AS_Starter_3-20240711_7,dead,FP,NA,NA
8,276844,771367,2.7862875843435293,0.7358890528719886,AS_Starter_3-20240711,AS_Starter_3-20240711_8,late_infected,FP,NA,NA
9,132578,930894,7.021481693795351,0.8753347525839891,AS_Starter_3-20240711,AS_Starter_3-20240711_9,dead,FP,NA,NA
10,119929,446382,3.7220522142267503,0.7882276699552013,AS_Starter_3-20240711,AS_Starter_3-20240711_10,late_infected,FP,NA,NA
11,135035,867895,6.427185544488466,0.865359497,AS_Starter_3-20240711,AS_Starter_3-20240711_11,dead,FP,NA,NA
12,128737,781446,6.070096398082913,0.8585592128176421,AS_Starter_3-20240711,AS_Starter_3-20240711_12,dead,FP,NA,NA
13,130975,1065609,8.135972513838519,0.8905425778716747,AS_Starter_3-20240711,AS_Starter_3-20240711_13,dead,FP,NA,NA
14,109469,968183,8.844357763385068,0.8984189701313596,AS_Starter_3-20240711,AS_Starter_3-20240711_14,dead,FP,NA,NA
15,132252,845707,6.394663218703687,0.8647673368719957,AS_Starter_3-20240711,AS_Starter_3-20240711_15,dead,FP,NA,NA
