Cell_Number,R_Area,B_Area,BR_Ratio,Prop_Infected,Cell_Source,Unique_id,Status,F1,Og_Manual_Match,Manual_Match
7,1283925,29070,0.022641509,0.022140221,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_7,uninfected,TP,AS_C_U_15_3-20240717_16,AS_C_U_15_3-20240717_16
1,550545,178755,0.32468735525706344,0.2451048951048951,AS_STARTER_2-20240716,AS_STARTER_2-20240716_1,early_infected,TP,AS_STARTER_2-20240716_5,AS_STARTER_2-20240716_5
2,865980,8160,0.00942285,0.009334889,AS_STARTER_2-20240716,AS_STARTER_2-20240716_2,uninfected,TP,AS_STARTER_2-20240716_23,AS_STARTER_2-20240716_23
3,933300,13260,0.01420765,0.014008621,AS_STARTER_2-20240716,AS_STARTER_2-20240716_3,uninfected,TP,AS_STARTER_2-20240716_22,AS_STARTER_2-20240716_22
4,503370,163200,0.3242147922998987,0.2448355011476664,AS_STARTER_2-20240716,AS_STARTER_2-20240716_4,early_infected,TP,AS_STARTER_2-20240716_28,AS_STARTER_2-20240716_28
5,328440,99705,0.30357142857142855,0.2328767123287671,AS_STARTER_2-20240716,AS_STARTER_2-20240716_5,early_infected,TP,AS_STARTER_2-20240716_11,AS_STARTER_2-20240716_11
6,276675,344760,1.2460829493087555,0.5547804677882643,AS_STARTER_2-20240716,AS_STARTER_2-20240716_6,late_infected,TP,AS_STARTER_2-20240716_19,AS_STARTER_2-20240716_19
7,1068450,351390,0.3288782816229117,0.24748563218390804,AS_STARTER_2-20240716,AS_STARTER_2-20240716_7,early_infected,TP,AS_STARTER_2-20240716_6,AS_STARTER_2-20240716_6
8,541620,343485,0.634180791,0.3880726015557476,AS_STARTER_2-20240716,AS_STARTER_2-20240716_8,early_infected,TP,AS_STARTER_2-20240716_3,AS_STARTER_2-20240716_3
9,641070,287130,0.4478918058870326,0.30934065934065935,AS_STARTER_2-20240716,AS_STARTER_2-20240716_9,early_infected,TP,AS_STARTER_2-20240716_18,AS_STARTER_2-20240716_18
10,571710,169065,0.29571810883140054,0.22822719449225473,AS_STARTER_2-20240716,AS_STARTER_2-20240716_10,early_infected,TP,AS_STARTER_2-20240716_31,AS_STARTER_2-20240716_31
11,846345,176970,0.20909912624284424,0.17293795165711437,AS_STARTER_2-20240716,AS_STARTER_2-20240716_11,uninfected,TP,AS_STARTER_2-20240716_33,AS_STARTER_2-20240716_33
12,743070,75735,0.10192175703500345,0.09249455,AS_STARTER_2-20240716,AS_STARTER_2-20240716_12,uninfected,TP,AS_STARTER_2-20240716_17,AS_STARTER_2-20240716_17
1,759390,13260,0.017461383,0.017161716,AS_STARTER_5-20240716,AS_STARTER_5-20240716_1,uninfected,TP,AS_STARTER_5-20240716_5,AS_STARTER_5-20240716_5
2,665040,5865,0.008819018,0.008741923,AS_STARTER_5-20240716,AS_STARTER_5-20240716_2,uninfected,TP,AS_STARTER_5-20240716_16,AS_STARTER_5-20240716_16
3,1260465,144840,0.11490997370018208,0.10306659408455816,AS_STARTER_5-20240716,AS_STARTER_5-20240716_3,uninfected,TP,AS_STARTER_5-20240716_15,AS_STARTER_5-20240716_15
